ID,CONGLOME,NSELV,ID_MUESTRA,CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CODCCPP,NOMCCPP,AREA,RESVIV,RFINAL,TOHOGAR,HOGARN,HOGAR_ID,C1P101,C1P102,C1P103,C1P104,C1P105,C1P106,C1P107,C1P108,C1P109,C1P110_1,C1P110_2,C1P110_3,C1P110_4,C1P110_5,C1P110_6,C1P110_7,C1P110_8,C1P110_9,C1P110_10,C1P110_11,C1P110_12,C1P110_13,C1P110_14,C1P110_15,C1P110_16,C1P110_17,C1P110_18,C1P110_19,C1P110_20,C1P110_21,FACTOR_VIV
2,07060,0002,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,4,6,1,1,1,2,0,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,369.164893617021
36,07060,0036,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,4,5,1,1,1,3,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,369.164893617021
50,07060,0050,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,4,5,1,1,1,4,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,369.164893617021
65,07060,0065,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,4,6,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,369.164893617021
95,07060,0095,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,369.164893617021
111,07060,0111,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,1,4,5,1,1,1,3,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,369.164893617021
140,07060,0140,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,4,6,1,1,1,3,0,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,369.164893617021
156,07060,0156,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,369.164893617021
310,0707301,0007,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,1,1,5,1,1,1,6,5,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,369.164893617021
322,0707301,0019,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,4,5,1,1,1,4,3,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,369.164893617021
347,0707301,0044,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,3,3,1,1,5,4,3,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,369.164893617021
369,0707301,0066,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,4,5,1,1,1,4,3,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,369.164893617021
382,0707301,0079,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,1,1,5,1,1,1,4,3,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,369.164893617021
417,0707301,0114,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,3,4,5,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,369.164893617021
429,0707301,0126,1,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,1,1,1,1,1,1,1,1,1,3,1,1,1,3,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,369.164893617021
