AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,CANTIDAD
2021,10,250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,19
2023,7,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,237
2024,10,190308,PASCO,OXAPAMPA,CONSTITUCION,9
2021,4,120903,JUNIN,CHUPACA,CHONGOS BAJO,1
2020,6,110109,ICA,ICA,SAN JOSE DE LOS MOLINOS,2
2025,2,10504,AMAZONAS,LUYA,COLCAMAR,1
2024,8,160604,LORETO,UCAYALI,PAMPA HERMOSA,1
2024,11,120213,JUNIN,CONCEPCION,ORCOTUNA,6
2023,5,150728,REGION LIMA,HUAROCHIRI,SANTA EULALIA,10
2025,3,150401,REGION LIMA,CANTA,CANTA,2
2023,4,80705,CUSCO,CHUMBIVILCAS,LIVITACA,2
2020,2,100207,HUANUCO,AMBO,SAN RAFAEL,3
2022,8,90601,HUANCAVELICA,HUAYTARA,HUAYTARA,2
2024,12,21806,ANCASH,SANTA,NEPEÑA,13
2024,6,80106,CUSCO,CUSCO,SANTIAGO,98
2021,8,200607,PIURA,SULLANA,QUERECOTILLO,22
2022,1,21806,ANCASH,SANTA,NEPEÑA,7
2022,2,90405,HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,2
2022,6,40413,AREQUIPA,CASTILLA,URACA,1
2025,8,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,107
2023,9,81001,CUSCO,PARURO,PARURO,5
2024,12,10205,AMAZONAS,BAGUA,IMAZA,2
2024,1,10520,AMAZONAS,LUYA,SANTA CATALINA,1
2022,9,80105,CUSCO,CUSCO,SAN SEBASTIAN,67
2019,12,150716,REGION LIMA,HUAROCHIRI,SAN ANTONIO,26
2022,3,50501,AYACUCHO,LA MAR,SAN MIGUEL,7
2018,2,21806,ANCASH,SANTA,NEPEÑA,8
2019,1,250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,19
2023,11,80207,CUSCO,ACOMAYO,SANGARARA,2
2024,3,110109,ICA,ICA,SAN JOSE DE LOS MOLINOS,7
2025,7,30306,APURIMAC,ANTABAMBA,PACHACONAS,1
2021,5,100603,HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,2
2020,11,220603,SAN MARTIN,MARISCAL CACERES,HUICUNGO,3
2022,2,40106,AREQUIPA,AREQUIPA,CHIGUATA,6
2021,3,21012,ANCASH,HUARI,RAHUAPAMPA,1
2018,12,61001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,13
2021,4,110108,ICA,ICA,SALAS,19
2023,2,250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,11
2022,6,30207,APURIMAC,ANDAHUAYLAS,KISHUARA,2
2019,11,30604,APURIMAC,CHINCHEROS,HUACCANA,3
2023,8,130704,LA LIBERTAD,PACASMAYO,PACASMAYO,41
2021,10,51001,AYACUCHO,VICTOR FAJARDO,HUANCAPI,2
2020,11,70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,1
2019,5,200502,PIURA,PAITA,AMOTAPE,1
2021,7,80103,CUSCO,CUSCO,POROY,21
2020,2,150110,LIMA METROPOLITANA,LIMA,COMAS,653
2020,9,21806,ANCASH,SANTA,NEPEÑA,4
2025,9,61001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,5
2024,7,120121,JUNIN,HUANCAYO,HUAYUCACHI,13
2020,12,120133,JUNIN,HUANCAYO,SAPALLANGA,17
2022,10,150110,LIMA METROPOLITANA,LIMA,COMAS,471
2025,2,131202,LA LIBERTAD,VIRU,CHAO,34
2021,7,110507,ICA,PISCO,SAN CLEMENTE,30
2021,1,50505,AYACUCHO,LA MAR,CHUNGUI,1
2019,5,220205,SAN MARTIN,BELLAVISTA,SAN PABLO,4
2024,4,220405,SAN MARTIN,HUALLAGA,SACANCHE,1
2019,5,200504,PIURA,PAITA,COLAN,3
2020,5,81104,CUSCO,PAUCARTAMBO,COLQUEPATA,1
2023,10,210403,PUNO,CHUCUITO,HUACULLANI,2
2018,8,120125,JUNIN,HUANCAYO,PILCOMAYO,12
2022,3,220603,SAN MARTIN,MARISCAL CACERES,HUICUNGO,3
2019,4,101101,HUANUCO,YAROWILCA,CHAVINILLO,2
2021,7,40601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,2
2018,9,150110,LIMA METROPOLITANA,LIMA,COMAS,345
2018,11,140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,17
2020,5,40116,AREQUIPA,AREQUIPA,SABANDIA,6
2022,2,230401,TACNA,TARATA,TARATA,3
2021,2,220501,SAN MARTIN,LAMAS,LAMAS,5
2018,3,40705,AREQUIPA,ISLAY,MEJIA,1
2020,10,230206,TACNA,CANDARAVE,QUILAHUANI,2
2024,3,100901,HUANUCO,PUERTO INCA,PUERTO INCA,4
2021,8,10206,AMAZONAS,BAGUA,LA PECA,4
2022,3,150407,REGION LIMA,CANTA,SANTA ROSA DE QUIVES,11
2024,7,60310,CAJAMARCA,CELENDIN,SUCRE,2
2019,9,150601,REGION LIMA,HUARAL,HUARAL,61
2021,2,150129,LIMA METROPOLITANA,LIMA,SAN BARTOLO,10
2019,4,80201,CUSCO,ACOMAYO,ACOMAYO,7
2020,4,10521,AMAZONAS,LUYA,SANTO TOMAS,5
2025,8,150127,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,7
2024,10,221001,SAN MARTIN,TOCACHE,TOCACHE,26
2023,1,60610,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,1
2018,7,150504,REGION LIMA,CAÑETE,CERRO AZUL,5
2024,6,140120,LAMBAYEQUE,CHICLAYO,TUMAN,21
2019,8,200104,PIURA,PIURA,CASTILLA,134
2019,6,21601,ANCASH,POMABAMBA,POMABAMBA,11
2019,12,40601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,6
2025,1,130201,LA LIBERTAD,ASCOPE,ASCOPE,4
2025,2,50115,AYACUCHO,HUAMANGA,JESUS NAZARENO,11
2019,4,40110,AREQUIPA,AREQUIPA,MIRAFLORES,117
2020,5,70103,PROV. CONST. DEL CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,12
2019,9,30306,APURIMAC,ANTABAMBA,PACHACONAS,1
2025,8,21601,ANCASH,POMABAMBA,POMABAMBA,14
2019,6,150514,REGION LIMA,CAÑETE,SAN LUIS,10
2023,11,110506,ICA,PISCO,SAN ANDRES,35
2024,6,50407,AYACUCHO,HUANTA,SIVIA,3
2025,2,40601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,6
2019,10,120206,JUNIN,CONCEPCION,COMAS,1
2024,6,80608,CUSCO,CANCHIS,TINTA,1
2021,6,21008,ANCASH,HUARI,HUANTAR,1
2023,7,150513,REGION LIMA,CAÑETE,SAN ANTONIO,10
2024,6,210901,PUNO,MOHO,MOHO,2
2023,6,30501,APURIMAC,COTABAMBAS,TAMBOBAMBA,3
2018,4,10302,AMAZONAS,BONGARA,CHISQUILLA,1
2021,3,50702,AYACUCHO,PARINACOCHAS,CHUMPI,1
2021,2,30306,APURIMAC,ANTABAMBA,PACHACONAS,1
2024,11,210209,PUNO,AZANGARO,POTONI,3
2020,7,120129,JUNIN,HUANCAYO,SAN AGUSTIN,13
2025,9,81306,CUSCO,URUBAMBA,OLLANTAYTAMBO,12
2023,5,40123,AREQUIPA,AREQUIPA,TIABAYA,16
2025,9,220709,SAN MARTIN,PICOTA,TINGO DE PONASA,1
2024,8,240106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,1
2024,9,150716,REGION LIMA,HUAROCHIRI,SAN ANTONIO,46
2021,3,190304,PASCO,OXAPAMPA,PALCAZU,3
2025,1,21809,ANCASH,SANTA,NUEVO CHIMBOTE,87
2019,12,50301,AYACUCHO,HUANCA SANCOS,SANCOS,1
2023,8,10518,AMAZONAS,LUYA,SAN JERONIMO,1
2020,6,100901,HUANUCO,PUERTO INCA,PUERTO INCA,8
2019,7,20101,ANCASH,HUARAZ,HUARAZ,156
2023,6,40502,AREQUIPA,CAYLLOMA,ACHOMA,2
2021,4,200409,PIURA,MORROPON,SANTO DOMINGO,2
2022,4,80204,CUSCO,ACOMAYO,MOSOC LLACTA,1
2022,6,40305,AREQUIPA,CARAVELI,BELLA UNION,3
2024,6,20501,ANCASH,BOLOGNESI,CHIQUIAN,1
2023,5,110304,ICA,NAZCA,MARCONA,26
2023,4,20608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,1
2021,4,100501,HUANUCO,HUAMALIES,LLATA,3
2023,12,61311,CAJAMARCA,SANTA CRUZ,YAUYUCAN,1
2020,6,50201,AYACUCHO,CANGALLO,CANGALLO,1
2021,6,140111,LAMBAYEQUE,CHICLAYO,PICSI,4
2019,5,10607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,1
2023,9,250201,UCAYALI,ATALAYA,RAYMONDI,13
2020,7,220202,SAN MARTIN,BELLAVISTA,ALTO BIAVO,2
2024,2,150809,REGION LIMA,HUAURA,SANTA LEONOR,1
2024,6,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,71
2018,2,150105,LIMA METROPOLITANA,LIMA,BREÑA,85
2023,2,210708,PUNO,LAMPA,PUCARA,1
2022,11,150114,LIMA METROPOLITANA,LIMA,LA MOLINA,80
2024,12,200115,PIURA,PIURA,26 DE OCTUBRE,118
2024,7,30209,APURIMAC,ANDAHUAYLAS,PACUCHA,5
2023,10,30306,APURIMAC,ANTABAMBA,PACHACONAS,1
2024,1,180302,MOQUEGUA,ILO,EL ALGARROBAL,3
2019,8,30101,APURIMAC,ABANCAY,ABANCAY,144
2021,11,130205,LA LIBERTAD,ASCOPE,PAIJAN,10
2023,5,21601,ANCASH,POMABAMBA,POMABAMBA,12
2024,7,150110,LIMA METROPOLITANA,LIMA,COMAS,482
2022,1,60603,CAJAMARCA,CUTERVO,CHOROS,2
2019,1,140119,LAMBAYEQUE,CHICLAYO,PUCALA,4
2019,12,81201,CUSCO,QUISPICANCHI,URCOS,3
2022,7,150136,LIMA METROPOLITANA,LIMA,SAN MIGUEL,98
2020,1,120801,JUNIN,YAULI,LA OROYA,32
2018,11,110101,ICA,ICA,ICA,132
2019,1,60301,CAJAMARCA,CELENDIN,CELENDIN,29
2019,5,30501,APURIMAC,COTABAMBAS,TAMBOBAMBA,6
2022,11,200111,PIURA,PIURA,LAS LOMAS,4
2019,11,150812,REGION LIMA,HUAURA,VEGUETA,22
2021,9,110206,ICA,CHINCHA,GROCIO PRADO,17
2024,10,150502,REGION LIMA,CAÑETE,ASIA,7
2023,7,101101,HUANUCO,YAROWILCA,CHAVINILLO,8
2019,7,20608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,1
2023,2,150507,REGION LIMA,CAÑETE,IMPERIAL,49
2024,10,80107,CUSCO,CUSCO,SAYLLA,11
2022,9,160112,LORETO,MAYNAS,BELEN,33
2023,4,190305,PASCO,OXAPAMPA,POZUZO,1
2018,1,100102,HUANUCO,HUANUCO,AMARILIS,78
